,Country,1990,1999,2000,2012,2013,2014,2015,2016,2017,2018,2019,Code
29,Bulgaria,"8,718,289.0","8,210,624.0","8,170,172.0","7,305,888.0","7,265,115.0","7,223,938.0","7,177,991.0","7,127,822.0","7,075,947.0","7,025,037.0","6,975,761.0",BGR
30,Burkina Faso,"9,131,361.0","11,533,554.0","11,882,888.0","17,113,732.0","17,636,408.0","18,169,842.0","18,718,019.0","19,275,498.0","19,835,858.0","20,392,723.0","20,951,639.0",BFA
31,Burundi,"5,483,793.0","6,180,180.0","6,307,659.0","9,795,479.0","10,149,577.0","10,494,913.0","10,727,148.0","10,903,327.0","11,155,593.0","11,493,472.0","11,874,838.0",BDI
32,Cabo Verde,"364,563.0","449,627.0","458,251.0","533,864.0","539,940.0","546,076.0","552,166.0","558,394.0","564,954.0","571,202.0","577,030.0",CPV
33,Cambodia,"8,910,808.0","11,899,006.0","12,118,841.0","14,786,640.0","14,999,683.0","15,210,817.0","15,417,523.0","15,624,584.0","15,830,689.0","16,025,238.0","16,207,746.0",KHM
34,Cameroon,"11,430,520.0","14,698,973.0","15,091,594.0","21,032,684.0","21,632,850.0","22,299,585.0","23,012,646.0","23,711,630.0","24,393,181.0","25,076,747.0","25,782,341.0",CMR
35,Canada,"27,691,138.0","30,401,286.0","30,685,730.0","34,714,222.0","35,082,954.0","35,437,435.0","35,702,908.0","36,109,487.0","36,545,236.0","37,065,084.0","37,601,230.0",CAN
36,Cayman Islands,"26,027.0","38,295.0","39,658.0","56,860.0","58,212.0","59,559.0","60,911.0","62,255.0","63,581.0","64,884.0","66,134.0",CYM
37,Central African Republic,"2,809,221.0","3,655,360.0","3,759,170.0","4,773,306.0","4,802,428.0","4,798,734.0","4,819,333.0","4,904,177.0","4,996,741.0","5,094,780.0","5,209,324.0",CAF
38,Chad,"5,827,069.0","7,981,889.0","8,259,137.0","12,754,906.0","13,216,766.0","13,697,126.0","14,140,274.0","14,592,585.0","15,085,884.0","15,604,210.0","16,126,866.0",TCD
39,Channel Islands,"140,601.0","144,811.0","145,306.0","158,621.0","159,794.0","160,912.0","162,190.0","163,721.0","165,215.0","167,259.0","169,410.0",
40,Chile,"13,342,868.0","15,176,410.0","15,351,799.0","17,341,771.0","17,509,925.0","17,687,108.0","17,870,124.0","18,083,879.0","18,368,577.0","18,701,450.0","19,039,485.0",CHL
41,China,"1,135,185,000.0","1,252,735,000.0","1,262,645,000.0","1,354,190,000.0","1,363,240,000.0","1,371,860,000.0","1,379,860,000.0","1,387,790,000.0","1,396,215,000.0","1,402,760,000.0","1,407,745,000.0",CHN
42,Colombia,"32,601,393.0","38,585,033.0","39,215,135.0","45,782,417.0","46,237,930.0","46,677,947.0","47,119,728.0","47,625,955.0","48,351,671.0","49,276,961.0","50,187,406.0",COL
43,Comoros,"431,119.0","526,443.0","536,758.0","684,553.0","699,393.0","714,612.0","730,216.0","746,232.0","761,664.0","776,313.0","790,986.0",COM
44,"Congo, Dem. Rep.","35,987,541.0","47,227,238.0","48,616,317.0","70,997,870.0","73,460,021.0","76,035,588.0","78,656,904.0","81,430,977.0","84,283,273.0","87,087,355.0","89,906,890.0",
